eco,opening,rating_band,games,white_win_rate,pct_of_band
B25,"Sicilian Defense: Closed Variation, Traditional",1200-1600,1905,0.4430446194225722,0.15728034623142256
C64,Ruy Lopez: Classical Variation,1200-1600,1905,0.48136482939632547,0.15728034623142256
B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,1200-1600,1897,0.5002635740643121,0.1566198513391121
D00,Queen's Pawn Game: Levitsky Attack,1200-1600,1892,0.5528541226215645,0.15620704203141808
C50,Italian Game: Schilling-Kostic Gambit,1200-1600,1892,0.4429175475687104,0.15620704203141808
A43,Benoni Defense: Benoni Gambit Accepted,1200-1600,1892,0.452431289640592,0.15620704203141808
B00,"Nimzowitsch Defense, Declined Variation",1200-1600,1888,0.5534957627118644,0.15587679458526288
C21,Center Game,1200-1600,1876,0.470682302771855,0.15488605224679722
C26,Vienna Game: Stanley Variation,1200-1600,1867,0.5549009105516872,0.154142995492948
C44,Ponziani Opening,1200-1600,1866,0.4715969989281886,0.15406043363140917
D02,Queen's Pawn Game: Anti-Torre,1200-1600,1839,0.4948341489940185,0.15183126336986147
A04,Zukertort Opening: Black Mustang Defense,1200-1600,1811,0.4942020982882385,0.14951953124677494
A80,Dutch Defense,1200-1600,1766,0.5039637599093998,0.14580424747752874
A10,English Opening,1200-1600,1757,0.5645987478656801,0.14506119072367948
A41,Old Indian Defense,1200-1600,1735,0.5510086455331412,0.14324482976982578
A01,Nimzo-Larsen Attack: Modern Variation #2,1200-1600,1718,0.5378346915017462,0.1418412781236661
C00,Queen's Pawn Game: Franco-Sicilian Defense,1200-1600,1706,0.4642438452520516,0.14085053578520046
C34,"King's Gambit Accepted, Fischer Defense",1200-1600,1691,0.5724423418095801,0.1396121078621184
C21,Danish Gambit,1200-1600,1690,0.527810650887574,0.13952954600057957
C20,King's Pawn Opening: 2.b3,1200-1600,1686,0.43238434163701067,0.13919929855442437
C50,Italian Game: Giuoco Pianissimo,1200-1600,1680,0.5,0.13870392738519155
B00,King's Pawn,1200-1600,1665,0.8906906906906907,0.13746549946210948
A06,Reti Opening,1200-1600,1655,0.41268882175226584,0.1366398808467214
C26,Vienna Game: Falkbeer Variation,1200-1600,1646,0.44957472660996356,0.1358968240928722
C45,Scotch Game: Classical Variation,1200-1600,1623,0.47812692544670365,0.13399790127747968
C48,Four Knights Game: Spanish Variation,1200-1600,1619,0.48857319332921556,0.13366765383132445
D05,Colle System,1200-1600,1594,0.46612296110414053,0.13160360729285434
B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,1200-1600,1572,0.5349872773536896,0.12978724633900066
B54,Sicilian Defense #2,1200-1600,1563,0.48816378758797185,0.1290441895851514
C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1200-1600,1561,0.5233824471492633,0.1288790658620738
D02,Queen's Pawn Game: London System,1200-1600,1551,0.5589941972920697,0.12805344724668577
D00,Blackmar-Diemer Gambit,1200-1600,1548,0.4076227390180879,0.12780576166206936
C23,Bishop's Opening: Philidor Counterattack,1200-1600,1541,0.54510058403634,0.12722782863129772
C34,"King's Gambit Accepted, King's Knight Gambit",1200-1600,1536,0.6158854166666666,0.1268150193236037
B12,Caro-Kann Defense,1200-1600,1534,0.5508474576271186,0.12664989560052609
B02,Alekhine Defense: Scandinavian Variation,1200-1600,1502,0.4673768308921438,0.12400791603128433
A00,Ware Opening,1200-1600,1498,0.3724966622162884,0.12367766858512913
A04,Zukertort Opening: Sicilian Invitation,1200-1600,1480,0.4527027027027027,0.12219155507743064
C47,Four Knights Game: Scotch Variation,1200-1600,1477,0.5531482735274205,0.12194386949281423
C25,Vienna Game: Max Lange Defense,1200-1600,1449,0.4782608695652174,0.1196321373697277
C57,"Italian Game: Two Knights Defense, Fried Liver Attack",1200-1600,1446,0.7468879668049793,0.11938445178511128
B32,Sicilian Defense: Open #3,1200-1600,1442,0.5686546463245492,0.11905420433895608
C41,Philidor Defense: Exchange Variation,1200-1600,1438,0.502086230876217,0.11872395689280085
C55,Italian Game: Two Knights Defense,1200-1600,1436,0.4777158774373259,0.11855883316972324
B02,Alekhine Defense: Maroczy Variation,1200-1600,1435,0.5024390243902439,0.11847627130818444
D31,Semi-Slav Defense: Accelerated Move Order,1200-1600,1390,0.5410071942446043,0.11476098753893825
B00,King's Pawn Game: Nimzowitsch Defense,1200-1600,1388,0.5770893371757925,0.11459586381586064
A04,Zukertort Opening: Pirc Invitation,1200-1600,1379,0.5061638868745467,0.1138528070620114
A01,Nimzo-Larsen Attack: Modern Variation #3,1200-1600,1365,0.48205128205128206,0.11269694100046812
C22,Center Game: Paulsen Attack Variation,1200-1600,1364,0.41642228739002934,0.11261437913892933
B00,Goldsmith Defense,1200-1600,1355,0.5461254612546126,0.11187132238508009
C40,Gunderam Defense,1200-1600,1324,0.5725075528700906,0.10931190467737716
B00,Ware Defense,1200-1600,1312,0.5876524390243902,0.10832116233891148
A07,King's Indian Attack,1200-1600,1305,0.5049808429118774,0.10774322930813984
C25,Vienna Game: Anderssen Defense,1200-1600,1295,0.4409266409266409,0.10691761069275181
C00,French Defense: Two Knights Variation,1200-1600,1283,0.4473889321901793,0.10592686835428616
C68,"Ruy Lopez: Exchange Variation, Lutikov Variation",1200-1600,1282,0.5826833073322933,0.10584430649274736
A00,Anderssen Opening,1200-1600,1279,0.5050820953870211,0.10559662090813093
C34,"King's Gambit Accepted, Schallopp Defense",1200-1600,1233,0.5636658556366586,0.10179877527734593
D06,Queen's Gambit,1200-1600,1233,0.6042173560421735,0.10179877527734593
C20,King's Pawn Game: Mengarini's Opening,1200-1600,1228,0.4780130293159609,0.10138596596965192
C21,King's Pawn Game: Beyer Gambit,1200-1600,1220,0.5540983606557377,0.10072547107734146
C45,Scotch Game: Schmidt Variation,1200-1600,1218,0.47126436781609193,0.10056034735426386
B01,Scandinavian Defense: Gubinsky-Melts Defense,1200-1600,1207,0.5691797845898923,0.09965216687733702
D35,Queen's Gambit Declined: Normal Defense,1200-1600,1203,0.5261845386533666,0.0993219194311818
A22,"English Opening: King's English Variation, Two Knights Variation",1200-1600,1190,0.5134453781512605,0.09824861523117732
C02,French Defense: Advance Variation #2,1200-1600,1183,0.44801352493660185,0.09767068220040571
B00,Duras Gambit,1200-1600,1180,0.5135593220338983,0.09742299661578929
B13,Caro-Kann Defense: Exchange Variation,1200-1600,1180,0.47203389830508474,0.09742299661578929
A00,Clemenz Opening,1200-1600,1176,0.4217687074829932,0.09709274916963408
B08,Pirc Defense: Classical Variation,1200-1600,1168,0.4743150684931507,0.09643225427732365
C70,"Ruy Lopez: Morphy Defense, Caro Variation",1200-1600,1167,0.6023993144815767,0.09634969241578484
B23,Sicilian Defense: Closed,1200-1600,1156,0.4455017301038062,0.09544151193885798
C02,"French Defense: Advance Variation, Paulsen Attack",1200-1600,1149,0.40382941688424717,0.09486357890808636
D02,Queen's Gambit Refused: Baltic Defense,1200-1600,1145,0.5816593886462882,0.09453333146193114
D02,Queen's Pawn Game: Krause Variation,1200-1600,1120,0.4973214285714286,0.09246928492346103
C48,"Four Knights Game: Spanish Variation, Classical Variation",1200-1600,1104,0.49094202898550726,0.09114829513884015
C41,Philidor Defense: Exchange Variation #3,1200-1600,1101,0.47593097184377836,0.09090060955422374
C40,Latvian Gambit Accepted,1200-1600,1096,0.47992700729927007,0.09048780024652972
C02,French Defense: Advance Variation #4,1200-1600,1094,0.39488117001828155,0.0903226765234521
C57,"Italian Game: Two Knights Defense, Knight Attack",1200-1600,1088,0.7224264705882353,0.08982730535421928
D20,Queen's Gambit Accepted: Saduleto Variation,1200-1600,1081,0.57631822386679,0.08924937232344765
D06,Queen's Gambit Refused: Austrian Defense,1200-1600,1076,0.5687732342007435,0.08883656301575363
D00,Amazon Attack,1200-1600,1060,0.3462264150943396,0.08751557323113275
C01,French Defense: Mediterranean Defense,1200-1600,1057,0.533585619678335,0.08726788764651634
B32,Sicilian Defense: Franco-Sicilian Variation,1200-1600,1056,0.5388257575757576,0.08718532578497754
A06,Zukertort Opening: Reversed Mexican Defense,1200-1600,1051,0.38629876308277833,0.08677251647728353
A30,English Opening: Symmetrical Variation,1200-1600,1043,0.5244487056567594,0.08611202158497308
C44,King's Knight Opening: Konstantinopolsky,1200-1600,1028,0.4396887159533074,0.08487359366189101
D01,Richter-Veresov Attack,1200-1600,1010,0.47326732673267324,0.08338748015419253
C20,Portuguese Opening,1200-1600,1008,0.42162698412698413,0.08322235643111492
A10,English Opening: Great Snake Variation,1200-1600,998,0.4879759519038076,0.08239673781572689
D07,Queen's Gambit Refused: Chigorin Defense #3,1200-1600,994,0.579476861167002,0.08206649036957166
A04,Zukertort Opening: Kingside Fianchetto,1200-1600,992,0.47580645161290325,0.08190136664649404
A00,Gedult's Opening,1200-1600,989,0.3822042467138524,0.08165368106187763
A43,Franco-Benoni Defense,1200-1600,987,0.502532928064843,0.08148855733880003
B00,Barnes Defense,1200-1600,982,0.6608961303462322,0.08107574803110601
A00,Hungarian Opening: Catalan Formation,1200-1600,979,0.5148110316649642,0.08082806244648959
C25,Vienna Game: Zhuravlev Countergambit #2,1200-1600,941,0.4569606801275239,0.07769071170801502
A01,Nimzo-Larsen Attack: Modern Variation,1200-1600,933,0.4415862808145766,0.07703021681570459
D08,Queen's Gambit Refused: Albin Countergambit,1200-1600,932,0.5439914163090128,0.07694765495416578
B27,Sicilian Defense,1200-1600,931,0.5660580021482277,0.07686509309262697
D10,Slav Defense: Exchange Variation,1200-1600,930,0.4967741935483871,0.07678253123108818
B02,Alekhine Defense: John Tracy Gambit,1200-1600,927,0.47357065803667747,0.07653484564647176
B15,Caro-Kann Defense,1200-1600,925,0.5102702702702703,0.07636972192339414
B12,"Caro-Kann Defense: Advance Variation, Short Variation",1200-1600,916,0.47161572052401746,0.07562666516954492
A06,Zukertort Opening: Old Indian Attack,1200-1600,909,0.49834983498349833,0.07504873213877328
A04,Zukertort Opening: Ross Gambit,1200-1600,887,0.5760992108229989,0.07323237118491958
A46,Torre Attack #2,1200-1600,880,0.5136363636363637,0.07265443815414795
D00,Queen's Pawn Game: Stonewall Attack,1200-1600,873,0.4948453608247423,0.07207650512337632
B00,Carr Defense,1200-1600,868,0.5495391705069125,0.0716636958156823
D07,Queen's Gambit Refused: Chigorin Defense,1200-1600,859,0.559953434225844,0.07092063906183305
B50,Sicilian Defense: Delayed Alapin,1200-1600,856,0.5011682242990654,0.07067295347721665
D20,Queen's Gambit Accepted: Accelerated Mannheim Variation,1200-1600,851,0.48296122209165687,0.07026014416952261
C40,King's Pawn Game: Gunderam Gambit,1200-1600,849,0.6195524146054181,0.07009502044644501
A40,Englund Gambit Complex Declined,1200-1600,838,0.5310262529832935,0.06918683996951816
B32,Sicilian Defense: Loewenthal Variation,1200-1600,837,0.5029868578255675,0.06910427810797935
A04,Zukertort Opening: Queenside Fianchetto Variation,1200-1600,833,0.5186074429771909,0.06877403066182414
B21,Sicilian Defense: Smith-Morra Gambit,1200-1600,831,0.5114320096269555,0.06860890693874652
E61,King's Indian Defense,1200-1600,824,0.4830097087378641,0.0680309739079749
A01,Nimzo-Larsen Attack: Modern Variation #4,1200-1600,813,0.4833948339483395,0.06712279343104804
A34,"English Opening: Symmetrical Variation, Normal Variation",1200-1600,813,0.5461254612546126,0.06712279343104804
B32,Sicilian Defense: Open,1200-1600,809,0.6069221260815822,0.06679254598489283
B54,Sicilian Defense,1200-1600,808,0.5952970297029703,0.06670998412335402
C41,Philidor Defense #4,1200-1600,805,0.4484472049689441,0.06646229853873761
D11,Slav Defense: Modern Line,1200-1600,801,0.5543071161048689,0.0661320510925824
C46,Four Knights Game: Gunsberg Variation,1200-1600,799,0.490613266583229,0.06596692736950478
B07,Rat Defense: Harmonist,1200-1600,796,0.5464824120603015,0.06571924178488837
B00,Borg Defense,1200-1600,796,0.5879396984924623,0.06571924178488837
C60,Ruy Lopez: Nuernberg Variation,1200-1600,792,0.5808080808080808,0.06538899433873316
E20,Nimzo-Indian Defense: Ragozin Variation,1200-1600,788,0.516497461928934,0.06505874689257794
A45,Indian Game: Pawn Push Variation,1200-1600,787,0.4548919949174079,0.06497618503103914
B07,Pirc Defense,1200-1600,779,0.4274711168164313,0.06431569013872869
C50,Italian Game: Hungarian Defense,1200-1600,776,0.5103092783505154,0.06406800455411228
C22,Center Game: Berger Variation,1200-1600,771,0.4396887159533074,0.06365519524641826
C10,French Defense: Rubinstein Variation,1200-1600,770,0.4987012987012987,0.06357263338487945
A04,Reti Opening #2,1200-1600,769,0.47074122236671,0.06349007152334066
B02,Alekhine Defense: Normal Variation,1200-1600,766,0.5509138381201044,0.06324238593872424
B11,Caro-Kann Defense,1200-1600,759,0.4505928853754941,0.06266445290795261
C48,Four Knights Game: Ranken Variation,1200-1600,759,0.5586297760210803,0.06266445290795261
E00,Indian Game: East Indian Defense,1200-1600,757,0.47424042272126815,0.062499329184875
B00,Nimzowitsch Defense: Kennedy Variation,1200-1600,750,0.4693333333333333,0.06192139615410336
A00,Hungarian Opening: Symmetrical Variation,1200-1600,746,0.4436997319034853,0.06159114870794815
B10,Caro-Kann Defense: Breyer Variation,1200-1600,741,0.4143049932523617,0.06117833940025413
D15,Slav Defense: Three Knights Variation,1200-1600,733,0.5115961800818554,0.06051784450794369
B07,Pirc Defense #2,1200-1600,728,0.5686813186813187,0.06010503520024967
A45,Trompowsky Attack,1200-1600,721,0.4521497919556172,0.05952710216947804
D20,"Queen's Gambit Accepted: Central Variation, Greco Variation",1200-1600,720,0.5347222222222222,0.059444540307939234
C10,French Defense: Paulsen Variation,1200-1600,710,0.5309859154929577,0.05861892169255118
C49,Four Knights Game: Double Spanish,1200-1600,708,0.4788135593220339,0.05845379796947358
C20,King's Pawn Game: Tortoise Opening,1200-1600,707,0.37623762376237624,0.05837123610793477
C41,Philidor Defense: Nimzowitsch Variation,1200-1600,707,0.6124469589816125,0.05837123610793477
A15,English Opening: Anglo-Indian Defense,1200-1600,696,0.4410919540229885,0.05746305563100792
B00,Nimzowitsch Defense: Williams Variation,1200-1600,691,0.5513748191027497,0.0570502463233139
C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",1200-1600,688,0.48255813953488375,0.056802560738697494
D21,Queen's Gambit Accepted: Rosenthal Variation,1200-1600,688,0.5683139534883721,0.056802560738697494
C00,French Defense: Steiner Variation,1200-1600,685,0.46715328467153283,0.05655487515408107
A53,Old Indian Defense,1200-1600,684,0.4853801169590643,0.056472313292542264
C10,French Defense: Marshall Variation,1200-1600,679,0.5184094256259205,0.05605950398484825
D01,"Queen's Pawn Game: Veresov Attack, Classical Defense",1200-1600,674,0.46439169139465875,0.055646694677154225
A25,"English Opening: King's English Variation, Reversed Closed Sicilian",1200-1600,673,0.537890044576523,0.055564132815615425
B27,Sicilian Defense: Hyperaccelerated Dragon,1200-1600,671,0.4366616989567809,0.05539900909253781
C44,King's Pawn Game: Tayler Opening,1200-1600,671,0.45305514157973176,0.05539900909253781
B44,Sicilian Defense: Paulsen Variation,1200-1600,670,0.4373134328358209,0.055316447230999
C26,"Vienna Game: Stanley Variation, Reversed Spanish",1200-1600,665,0.5323308270676692,0.054903637923304986
A00,Hungarian Opening: Slav Formation,1200-1600,660,0.5075757575757576,0.05449082861561096
C44,Scotch Game: Lolli Variation,1200-1600,659,0.5538694992412747,0.054408266754072156
C43,Petrov: Modern Attack,1200-1600,658,0.48024316109422494,0.054325704892533355
D00,"Queen's Pawn Game: Veresov Attack, Alburt Defense",1200-1600,656,0.45426829268292684,0.05416058116945574
